task_name,feedback_loop,directive,task_iteration,validation,learning,filtered
accept commissions to create music for special occasions.,0.0,0.0,0.0,0.0,0.0,1.0
act as advisers to student organizations.,0.0,0.3829787234042553,0.3617021276595745,0.0,0.0,0.2553191489361702
act as an advocate for farmers or farmers' groups.,0.0,0.0,0.0,0.0,0.0,1.0
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.0,0.391304347826087,0.43478260869565216,0.0,0.0,0.17391304347826086
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.0,0.391304347826087,0.37681159420289856,0.0,0.0,0.2318840579710145
act as liaisons between on-site managers or tenants and owners.,0.0,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444
adapt instructional content or delivery methods for different levels or types of learners.,0.010558069381598794,0.28205128205128205,0.6178984414278532,0.01860231271995978,0.06033182503770739,0.010558069381598794
adapt or design computer hardware or software for medical science uses.,0.0,0.0,0.0,0.0,0.0,1.0
adapt software and accompanying technical documents to another language and culture.,0.0,0.0,0.4444444444444444,0.0,0.0,0.5555555555555556
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.014285714285714285,0.2722222222222222,0.5301587301587302,0.03253968253968254,0.1349206349206349,0.015873015873015872
adapt text to accommodate musical requirements of composers and singers.,0.0,0.5826086956521739,0.4,0.0,0.0,0.017391304347826087
adapt the quantity of ingredients to match the amount of items to be baked.,0.0,0.0,0.0,0.0,0.0,1.0
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.0,0.5859649122807018,0.3298245614035088,0.0,0.0,0.08421052631578947
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",0.0,0.0,0.0,0.0,0.0,1.0
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.0,0.0,0.0,0.0,0.0,1.0
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.036953582694907616,0.3420459666516449,0.08337088778729157,0.05137449301487156,0.4366831906264083,0.04957187922487607
"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",0.0,0.0,0.0,0.0,0.0,1.0
"adjust digital files to alter print elements, such as fonts, graphics, or color separations.",0.0,0.5,0.48148148148148145,0.0,0.0,0.018518518518518517
adjust sales scripts to better target the needs and interests of specific individuals.,0.0,0.0,0.5319148936170213,0.0,0.0,0.46808510638297873
"adjust, maintain, or repair laboratory equipment such as microscopes.",0.0,0.0,0.0,0.0,0.0,1.0
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.0,0.0,0.0,0.0,0.0,1.0
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.0,0.39080459770114945,0.21839080459770116,0.0,0.25287356321839083,0.13793103448275862
"administer highway planning, construction, or maintenance.",0.0,0.0,0.0,0.0,0.0,1.0
administer online purchasing systems.,0.0,0.3225806451612903,0.0,0.0,0.2903225806451613,0.3870967741935484
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.0,0.43902439024390244,0.0,0.0,0.0,0.5609756097560976
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.0,0.19696969696969696,0.11363636363636363,0.0,0.6439393939393939,0.045454545454545456
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.0,0.13368983957219252,0.11229946524064172,0.0,0.7165775401069518,0.0374331550802139
"administer, proctor, or score academic or diagnostic assessments.",0.0,0.5511111111111111,0.03777777777777778,0.2311111111111111,0.11777777777777777,0.06222222222222222
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.08163265306122448,0.19047619047619047,0.05102040816326531,0.0,0.6530612244897959,0.023809523809523808
"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",0.0,0.0,0.0,0.0,0.7391304347826086,0.2608695652173913
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.0,0.20408163265306123,0.23129251700680273,0.0,0.4965986394557823,0.06802721088435375
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.16842105263157894,0.16842105263157894,0.16842105263157894,0.0,0.4421052631578947,0.05263157894736842
advise clients about proper clothing and shoes.,0.0,0.0,0.0,0.0,0.75,0.25
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.0,0.0,0.0,0.0,0.6739130434782609,0.32608695652173914
advise clients on financial and legal matters such as investments and taxes.,0.0,0.13742690058479531,0.10526315789473684,0.0,0.7017543859649122,0.05555555555555555
advise clients on how they could be helped by counseling.,0.0,0.14741035856573706,0.05976095617529881,0.0,0.6812749003984063,0.11155378486055777
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.04632152588555858,0.1907356948228883,0.22888283378746593,0.0,0.4904632152588556,0.043596730245231606
advise clients on nail care and use of products and colors.,0.0,0.0,0.0,0.0,0.0,1.0
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.0,0.0,0.0,0.0,0.59375,0.40625
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",0.0,0.2441860465116279,0.20930232558139536,0.0,0.45348837209302323,0.09302325581395349
advise corporations on issues involving corporate image projects or problems.,0.0,0.2159090909090909,0.2840909090909091,0.26136363636363635,0.20454545454545456,0.03409090909090909
advise customer about or perform maintenance of software system.,0.0,0.0,0.0,0.0,0.6730769230769231,0.3269230769230769
"advise customers concerning equipment operation, maintenance, or programming.",0.0,0.0,0.0,0.0,0.0,1.0
advise customers of necessary actions and strategies for debt repayment.,0.0,0.26666666666666666,0.0,0.0,0.4166666666666667,0.31666666666666665
advise customers on plant selection or care.,0.0,0.0,0.0,0.0,0.7727272727272727,0.22727272727272727
advise customers on product usage to improve production.,0.0,0.0,0.0,0.0,0.0,1.0
advise customers on use and care of merchandise.,0.0,0.0,0.0,0.0,0.5675675675675675,0.43243243243243246
advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.0,0.0,0.0,0.0,0.0,1.0
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.0,0.0,0.0,0.0,0.3902439024390244,0.6097560975609756
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,0.0,0.25547445255474455,0.291970802919708,0.0,0.36496350364963503,0.08759124087591241
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",0.0,0.0,0.0,0.0,0.0,1.0
advise internal management or business partners on the implementation or operation of compliance programs.,0.0,0.0,0.0,0.0,0.7948717948717948,0.20512820512820512
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.0,0.0,0.0,0.0,0.0,1.0
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.0,0.12962962962962962,0.24074074074074073,0.0,0.5370370370370371,0.09259259259259259
advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,0.0,0.0,0.0,0.0,0.0,1.0
"advise management on organizing, preparing, or implementing recruiting or retention programs.",0.0,0.0,0.0,0.0,0.0,1.0
"advise management on short-term and long-term financial objectives, policies, and actions.",0.0,0.0,0.0,0.0,0.6071428571428571,0.39285714285714285
"advise management on such matters as equal employment opportunity, sexual harassment and discrimination.",0.0,0.0,0.0,0.0,0.0,1.0
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",0.0,0.30337078651685395,0.2247191011235955,0.0,0.3258426966292135,0.14606741573033707
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",0.0,0.0,0.0,0.0,0.6,0.4
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",0.0,0.2982456140350877,0.2982456140350877,0.0,0.38596491228070173,0.017543859649122806
advise or assist in obtaining patents or meeting other legal requirements.,0.0,0.147239263803681,0.1411042944785276,0.0,0.6257668711656442,0.08588957055214724
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,0.02564102564102564,0.21417797888386123,0.10407239819004525,0.05128205128205128,0.5656108597285068,0.0392156862745098
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.0,0.1598639455782313,0.13945578231292516,0.0,0.6462585034013606,0.05442176870748299
advise participants in use of heat or ultraviolet treatments and hot baths.,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111
advise patients about recommended courses of treatment.,0.0,0.0,0.0,0.0,0.0,1.0
advise patients about therapeutic exercise and nutritional medicine regimens.,0.0,0.0,0.0,0.0,0.7446808510638298,0.2553191489361702
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",0.0,0.0,0.0,0.0,0.8791208791208791,0.12087912087912088
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.028944911297852476,0.09990662931839403,0.07936507936507936,0.0,0.7712418300653595,0.02054154995331466
"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",0.0,0.0,0.0,0.0,0.9545454545454546,0.045454545454545456
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",0.0,0.0,0.0,0.0,0.6551724137931034,0.3448275862068966
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",0.0,0.1875,0.2734375,0.0,0.4375,0.1015625
advise producers about improved products and techniques that could enhance their animal production efforts.,0.0,0.0,0.0,0.0,0.41304347826086957,0.5869565217391305
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",0.0,0.0,0.0,0.0,0.8082191780821918,0.1917808219178082
advise students on academic and vocational curricula and on career issues.,0.0,0.17796610169491525,0.2584745762711864,0.0,0.4194915254237288,0.1440677966101695
"advise students on academic and vocational curricula, and on career issues.",0.0,0.23863636363636365,0.2159090909090909,0.0,0.42045454545454547,0.125
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",0.0,0.0,0.0,0.0,0.0,1.0
"advise students on internships, prospective employers, and job placement services.",0.0,0.0,0.38461538461538464,0.0,0.0,0.6153846153846154
"advise students on issues such as course selection, progress toward graduation, and career decisions.",0.0,0.0,0.0,0.0,0.0,1.0
advocate for accessible health care that minimizes environmental health risks.,0.0,0.0,0.0,0.0,0.47058823529411764,0.5294117647058824
"advocate for patients' and families' needs, or provide emotional support for patients and their families.",0.0,0.0,0.0,0.0,0.0,1.0
"advocate for sustainability to community groups, government agencies, the general public, or special interest groups.",0.0,0.0,0.0,0.0,0.0,1.0
"align, adjust, or calibrate equipment according to specifications.",0.0,0.18181818181818182,0.19834710743801653,0.0,0.4297520661157025,0.19008264462809918
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",0.0,0.5545454545454546,0.39090909090909093,0.0,0.0,0.05454545454545454
