"occupation_id","task_id","onet_task_id","task_statement","task_family_id","task_type","time_share_prior","value_centrality","bargaining_power_weight","role_criticality","ai_support_observability","source_mix","source_confidence","notes"
"occ_11_1021_00","task_occ_11_1021_00_19501","19501","Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.","cluster_oversight_strategy","Supplemental","0.0176","0.5786","0.7664","core","0.5160","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5755","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20699","20699","Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.","cluster_qa_review","Core","0.0262","0.6946","0.6987","supporting","0.0075","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.3885","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20700","20700","Direct administrative activities directly related to making products or providing services.","cluster_oversight_strategy","Core","0.1244","0.9800","0.9900","core","0.5160","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5615","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20701","20701","Prepare staff work schedules and assign specific duties.","cluster_workflow_admin","Core","0.1228","0.6888","0.5305","supporting","0.3175","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4950","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20702","20702","Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.","cluster_coordination","Core","0.0202","0.6582","0.5744","supporting","0.2715","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5805","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20703","20703","Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.","cluster_coordination","Core","0.0251","0.7600","0.6334","core","0.2715","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6345","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20704","20704","Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.","cluster_coordination","Core","0.0229","0.7078","0.6031","core","0.2715","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5805","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20705","20705","Perform personnel functions, such as selection, training, or evaluation.","cluster_coordination","Core","0.0232","0.7140","0.6067","core","0.2715","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5805","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20706","20706","Plan or direct activities, such as sales promotions, that require coordination with other department managers.","cluster_oversight_strategy","Core","0.0883","0.9800","0.9900","core","0.5160","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6065","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_20707","20707","Set prices or credit terms for goods or services, based on forecasts of customer demand.","cluster_client_interaction","Supplemental","0.0871","0.7070","0.8269","core","0.1525","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5175","seeded_from_onet_task_inventory"
