occupation_id,title,function_anchor_count,role_heterogeneity_target,role_heterogeneity_gap,role_heterogeneity_review,primary_review_layer,role_shape_candidate_score,role_shape_status,role_shape_reason,source_mix,notes
occ_13_1161_00,Market Research Analysts and Marketing Specialists,1,0.392,0.154,low,role_shape_heterogeneity,0.515,implemented_first_pass,Now implemented as a reviewed runtime role-variant occupation; keep reviewing it for deeper function coverage and future expansion.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.990|btos_percentile=0.677|derived_launch_aggregate|knowledge_share=0.75|people_share=0.09|routine_share=0.16|labor_context_2024
occ_15_1254_00,Web Developers,1,0.38,0.141,low,role_shape_heterogeneity,0.506,implemented_first_pass,Now implemented as a reviewed runtime role-variant occupation; keep reviewing it for deeper function coverage and future expansion.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.962|btos_percentile=0.806|derived_launch_aggregate|knowledge_share=0.85|people_share=0.03|routine_share=0.04|labor_context_2024
occ_15_2031_00,Operations Research Analysts,1,0.363,0.169,low,role_shape_heterogeneity,0.506,watchlist,"Meaningful role-shape pressure exists, but the evidence still looks better suited to monitoring than immediate variant modeling.",src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.500|btos_percentile=0.581|derived_launch_aggregate|knowledge_share=0.68|people_share=0.08|routine_share=0.00|labor_context_2024
occ_27_3041_00,Editors,2,0.386,0.196,medium,role_shape_heterogeneity,0.468,implemented_first_pass,Now implemented as a reviewed runtime role-variant occupation; keep reviewing it for deeper function coverage and future expansion.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.986|btos_percentile=0.935|derived_launch_aggregate|knowledge_share=0.77|people_share=0.06|routine_share=0.06|labor_context_2024
occ_13_2011_00,Accountants and Auditors,2,0.38,0.192,medium,role_shape_heterogeneity,0.464,implemented_first_pass,Now implemented as a reviewed runtime role-variant occupation; keep reviewing it for deeper function coverage and future expansion.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.925|btos_percentile=0.516|derived_launch_aggregate|knowledge_share=0.24|people_share=0.02|routine_share=0.32|labor_context_2024
occ_13_1111_00,Management Analysts,2,0.34,0.161,low,role_shape_heterogeneity,0.438,implemented_first_pass,Now implemented as a reviewed runtime role-variant occupation; keep reviewing it for deeper function coverage and future expansion.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.955|btos_percentile=0.871|derived_launch_aggregate|knowledge_share=0.74|people_share=0.26|routine_share=0.00|labor_context_2024
occ_27_3023_00,"News Analysts, Reporters, and Journalists",2,0.351,0.132,low,role_shape_heterogeneity,0.436,implemented_first_pass,Now implemented as a reviewed runtime role-variant occupation; keep reviewing it for deeper function coverage and future expansion.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.984|btos_percentile=1.000|derived_launch_aggregate|knowledge_share=0.47|people_share=0.20|routine_share=0.23|labor_context_2024
occ_27_3031_00,Public Relations Specialists,2,0.339,0.116,ok,role_shape_heterogeneity,0.427,not_now,Current evidence does not justify a dedicated multi-variant occupation split ahead of stronger queues.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.868|btos_percentile=0.645|derived_launch_aggregate|knowledge_share=0.44|people_share=0.42|routine_share=0.14|labor_context_2024
occ_43_3031_00,"Bookkeeping, Accounting, and Auditing Clerks",1,0.381,0.144,low,bargaining_power,0.397,not_now,Current evidence does not justify a dedicated multi-variant occupation split ahead of stronger queues.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.944|btos_percentile=0.226|derived_launch_aggregate|knowledge_share=0.45|people_share=0.00|routine_share=0.51|labor_context_2024
occ_13_1199_00,"Business Operations Specialists, All Other",1,0.363,0.134,low,accountability_guardrails,0.387,not_now,Current evidence does not justify a dedicated multi-variant occupation split ahead of stronger queues.,src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,launch_stub_generated|btos_covered_share=0.873|btos_percentile=0.290|derived_launch_aggregate|knowledge_share=0.50|people_share=0.33|routine_share=0.17|labor_context_2024
