task_cluster_id,label,label_short,description,default_coupling_class,default_reviewability_class,default_human_advantage_class
cluster_drafting,Drafting,Drafting,Produce first-pass written or coded artifacts,medium,high,low
cluster_analysis,Analysis,Analysis,Interpret structured information to produce findings or decisions,medium,medium,medium
cluster_research_synthesis,Research Synthesis,Research,Gather and synthesize external or internal information,medium,medium,medium
cluster_coordination,Coordination,Coordination,Coordinate across people workflows and dependencies,high,low,high
cluster_client_interaction,Client Interaction,Client,Direct client or stakeholder communication,high,low,high
cluster_qa_review,QA and Review,QA,Review outputs for correctness and quality,medium,high,medium
cluster_decision_support,Decision Support,Decision,Support higher-stakes choices with analysis and recommendations,high,medium,high
cluster_execution_routine,Routine Execution,Routine,Execute repeatable transactional or operational work,low,high,low
cluster_oversight_strategy,Oversight and Strategy,Strategy,Set direction scope and priorities,high,low,high
cluster_relationship_management,Relationship Management,Relationships,Build trust negotiate and maintain relationships,high,low,high
cluster_documentation,Documentation,Docs,Record status process and procedural knowledge,low,high,low
cluster_workflow_admin,Workflow Administration,Admin,Track tasks schedule work and maintain systems,low,high,low
