task_cluster_id,keyword,weight
cluster_drafting,draft,1.0
cluster_drafting,write,0.9
cluster_drafting,develop,0.9
cluster_drafting,create,0.7
cluster_drafting,design,0.8
cluster_drafting,prepare,0.5
cluster_analysis,analy,1.0
cluster_analysis,assess,0.8
cluster_analysis,evaluate,0.8
cluster_analysis,interpret,0.7
cluster_analysis,examine,0.7
cluster_research_synthesis,research,1.0
cluster_research_synthesis,investigat,0.9
cluster_research_synthesis,gather,0.6
cluster_research_synthesis,collect,0.6
cluster_research_synthesis,compile,0.6
cluster_coordination,coordinat,1.0
cluster_coordination,schedul,0.7
cluster_coordination,liais,0.8
cluster_coordination,organize,0.6
cluster_coordination,communicat,0.4
cluster_client_interaction,client,1.0
cluster_client_interaction,customer,1.0
cluster_client_interaction,stakeholder,0.8
cluster_client_interaction,present,0.5
cluster_client_interaction,advise,0.4
cluster_qa_review,review,1.0
cluster_qa_review,audit,1.0
cluster_qa_review,test,0.9
cluster_qa_review,verify,0.8
cluster_qa_review,inspect,0.8
cluster_qa_review,proofread,0.8
cluster_decision_support,recommend,1.0
cluster_decision_support,forecast,0.8
cluster_decision_support,model,0.7
cluster_decision_support,estimate,0.6
cluster_decision_support,plan,0.5
cluster_execution_routine,process,1.0
cluster_execution_routine,enter,0.8
cluster_execution_routine,reconcile,0.8
cluster_execution_routine,update,0.5
cluster_execution_routine,file,0.6
cluster_execution_routine,calculate,0.5
cluster_oversight_strategy,oversee,1.0
cluster_oversight_strategy,direct,0.8
cluster_oversight_strategy,lead,0.8
cluster_oversight_strategy,manage,0.8
cluster_oversight_strategy,policy,0.8
cluster_relationship_management,recruit,1.0
cluster_relationship_management,negotiat,0.8
cluster_relationship_management,mediate,0.8
cluster_relationship_management,relationship,1.0
cluster_relationship_management,resolve,0.4
cluster_documentation,document,1.0
cluster_documentation,report,0.8
cluster_documentation,record,0.8
cluster_documentation,summarize,0.7
cluster_documentation,maintain records,0.9
cluster_workflow_admin,track,0.8
cluster_workflow_admin,assign,0.8
cluster_workflow_admin,route,0.7
cluster_workflow_admin,calendar,0.9
cluster_workflow_admin,administer,0.8
