"occupation_id","variant_id","variant_label","variant_summary","variant_order","is_default","task_ids","function_ids","preferred_task_families","preferred_function_ids","questionnaire_signature","source_mix","notes"
"occ_13_1161_00","insights_researcher","Insights researcher","Research-heavy market and audience work focused on framing questions, running studies, and translating findings into recommendations.","1","1","task_occ_13_1161_00_5439|task_occ_13_1161_00_5443|task_occ_13_1161_00_manual_mr_03|task_occ_13_1161_00_5434|task_occ_13_1161_00_manual_mr_04|task_occ_13_1161_00_manual_mr_01|task_occ_13_1161_00_manual_mr_02|task_occ_13_1161_00_5437","fn_occ_13_1161_00_primary","cluster_research_synthesis|cluster_analysis|cluster_decision_support|cluster_drafting","fn_occ_13_1161_00_primary","workflow_decomposability=medium|ai_observability_of_work=high|execution_vs_judgment_mix=medium|stakeholder_alignment_burden=medium","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|market_research_variant"
"occ_13_1161_00","marketing_ops_analyst","Marketing operations analyst","Execution-heavy marketing measurement and workflow work focused on attribution, automation, reporting, and cross-team funnel coordination.","2","0","task_occ_13_1161_00_jd_mk_01|task_occ_13_1161_00_jd_mk_02|task_occ_13_1161_00_jd_mk_03|task_occ_13_1161_00_jd_mk_04|task_occ_13_1161_00_manual_mr_03|task_occ_13_1161_00_5434|task_occ_13_1161_00_5438|task_occ_13_1161_00_5435","fn_occ_13_1161_00_marketing_ops|fn_occ_13_1161_00_primary","cluster_analysis|cluster_workflow_admin|cluster_coordination|cluster_decision_support","fn_occ_13_1161_00_marketing_ops|fn_occ_13_1161_00_primary","workflow_decomposability=high|organizational_adoption_readiness=high|execution_vs_judgment_mix=high|stakeholder_alignment_burden=medium","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|market_research_variant"
"occ_27_3041_00","line_editor","Line editor","Copy and quality-heavy editing work focused on rewriting, fact-checking, and improving readability at the content level.","1","1","task_occ_27_3041_00_1777|task_occ_27_3041_00_1780|task_occ_27_3041_00_1786|task_occ_27_3041_00_1782|task_occ_27_3041_00_1776|task_occ_27_3041_00_21000|task_occ_27_3041_00_1781|task_occ_27_3041_00_1778","fn_occ_27_3041_00_primary","cluster_drafting|cluster_qa_review|cluster_analysis","fn_occ_27_3041_00_primary","human_signoff_requirement=medium|execution_vs_judgment_mix=medium|ai_observability_of_work=medium|stakeholder_alignment_burden=low","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|editors_variant"
"occ_27_3041_00","managing_editor","Managing editor","Editorial-management work focused on publication planning, supervising contributors, and orchestrating output under deadline.","2","0","task_occ_27_3041_00_1783|task_occ_27_3041_00_1789|task_occ_27_3041_00_1779|task_occ_27_3041_00_1788|task_occ_27_3041_00_1784|task_occ_27_3041_00_jd_ed_01|task_occ_27_3041_00_jd_ed_03|task_occ_27_3041_00_jd_ed_04","fn_occ_27_3041_00_primary|fn_occ_27_3041_00_publication_orchestration","cluster_oversight_strategy|cluster_coordination|cluster_documentation|cluster_analysis","fn_occ_27_3041_00_publication_orchestration|fn_occ_27_3041_00_primary","human_signoff_requirement=high|stakeholder_alignment_burden=high|function_centrality=high|execution_vs_judgment_mix=low","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|editors_variant"
"occ_27_3042_00","documentation_author","Documentation author","Technical communication work centered on drafting, translating, and restructuring complex product or system knowledge for users.","1","1","task_occ_27_3042_00_3968|task_occ_27_3042_00_3971|task_occ_27_3042_00_3973|task_occ_27_3042_00_20243|task_occ_27_3042_00_3972|task_occ_27_3042_00_3974|task_occ_27_3042_00_3977|task_occ_27_3042_00_manual_tw_03","fn_occ_27_3042_00_primary","cluster_drafting|cluster_documentation","fn_occ_27_3042_00_primary","workflow_decomposability=high|ai_observability_of_work=high|execution_vs_judgment_mix=high|human_signoff_requirement=low","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|technical_writers_variant"
"occ_27_3042_00","release_enablement_writer","Release enablement writer","Documentation-program work focused on organizing inputs, reviews, records, and release readiness around documentation output.","2","0","task_occ_27_3042_00_3966|task_occ_27_3042_00_3967|task_occ_27_3042_00_20243|task_occ_27_3042_00_3970|task_occ_27_3042_00_3978|task_occ_27_3042_00_jd_tw_03|task_occ_27_3042_00_jd_tw_04|task_occ_27_3042_00_manual_tw_02","fn_occ_27_3042_00_primary|fn_occ_27_3042_00_release_enablement","cluster_workflow_admin|cluster_documentation|cluster_qa_review","fn_occ_27_3042_00_release_enablement|fn_occ_27_3042_00_primary","organizational_adoption_readiness=high|stakeholder_alignment_burden=medium|human_signoff_requirement=medium|workflow_decomposability=medium","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|technical_writers_variant"
"occ_27_3023_00","field_reporter","Field reporter","Reporting work centered on research, source development, interviewing, and writing original coverage under uncertainty.","1","1","task_occ_27_3023_00_22630|task_occ_27_3023_00_22628|task_occ_27_3023_00_22627|task_occ_27_3023_00_22623|task_occ_27_3023_00_22636|task_occ_27_3023_00_22633|task_occ_27_3023_00_22638|task_occ_27_3023_00_22650","fn_occ_27_3023_00_primary|fn_occ_27_3023_00_source_development","cluster_research_synthesis|cluster_relationship_management|cluster_drafting|cluster_qa_review","fn_occ_27_3023_00_source_development|fn_occ_27_3023_00_primary","external_trust_requirement=high|relationship_ownership=high|exception_and_context_load=high|workflow_decomposability=low","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|journalism_variant"
"occ_27_3023_00","anchor_producer","Anchor or producer-led journalist","Presentation and program-shaping work focused on selecting material, coordinating segments, interpreting news, and delivering live output.","2","0","task_occ_27_3023_00_22624|task_occ_27_3023_00_22625|task_occ_27_3023_00_22631|task_occ_27_3023_00_22632|task_occ_27_3023_00_22645|task_occ_27_3023_00_22641|task_occ_27_3023_00_22626|task_occ_27_3023_00_22638","fn_occ_27_3023_00_primary|fn_occ_27_3023_00_broadcast_orchestration","cluster_coordination|cluster_workflow_admin|cluster_documentation|cluster_analysis","fn_occ_27_3023_00_broadcast_orchestration|fn_occ_27_3023_00_primary","human_signoff_requirement=medium|stakeholder_alignment_burden=high|ai_observability_of_work=medium|workflow_decomposability=medium","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|journalism_variant"
"occ_13_1111_00","diagnostic_analyst","Diagnostic analyst","Problem-framing and analysis-heavy consulting work focused on diagnosing issues, structuring options, and preparing decision-ready recommendations.","1","1","task_occ_13_1111_00_manual_ma_01|task_occ_13_1111_00_7276|task_occ_13_1111_00_manual_ma_02|task_occ_13_1111_00_jd_ma_01|task_occ_13_1111_00_7277|task_occ_13_1111_00_7282|task_occ_13_1111_00_7281|task_occ_13_1111_00_jd_ma_02","fn_occ_13_1111_00_primary","cluster_decision_support|cluster_analysis|cluster_research_synthesis|cluster_qa_review","fn_occ_13_1111_00_primary","workflow_decomposability=high|ai_observability_of_work=high|execution_vs_judgment_mix=high|stakeholder_alignment_burden=medium","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|management_analysts_variant"
"occ_13_1111_00","change_enablement_advisor","Change enablement advisor","Implementation-heavy consulting work focused on alignment, governance, rollout, and sustaining change after recommendations are approved.","2","0","task_occ_13_1111_00_jd_ma_03|task_occ_13_1111_00_manual_ma_04|task_occ_13_1111_00_manual_ma_03|task_occ_13_1111_00_manual_ma_05|task_occ_13_1111_00_jd_ma_02|task_occ_13_1111_00_jd_ma_04|task_occ_13_1111_00_7278|task_occ_13_1111_00_7283","fn_occ_13_1111_00_primary|fn_occ_13_1111_00_change_enablement","cluster_coordination|cluster_oversight_strategy|cluster_qa_review|cluster_decision_support","fn_occ_13_1111_00_change_enablement|fn_occ_13_1111_00_primary","stakeholder_alignment_burden=high|human_signoff_requirement=high|function_centrality=high|execution_vs_judgment_mix=low","src_onet_30_1|src_manual_role_graph_review_2026_03|src_reviewed_role_calibration_2026_03","role_shape_variant_review|management_analysts_variant"
