"role_family","function_category","role_summary","function_statement","accountability_statement","primary_output","primary_stakeholder","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","bargaining_power_retention","source_mix","notes"
"admin","workflow_execution","Keep records, schedules, and internal workflows moving so leaders and teams can execute planned work.","Coordinate administrative workflow, records, and communications so the organization can operate reliably.","Own the integrity of schedules, records, and follow-through even when parts of the work are delegated.","Accurate workflow execution and internal support","Internal leaders and teams","0.42","0.48","0.28","0.34","0.40","src_role_function_seed_2026_03","role_family_default"
"communications","stakeholder_messaging","Shape stakeholder understanding and keep messaging aligned with organizational goals.","Translate organizational priorities into clear external and internal communications.","Remain accountable for message accuracy, timing, and reputational consequences.","Stakeholder-ready communications","External and internal stakeholders","0.58","0.72","0.40","0.54","0.62","src_role_function_seed_2026_03","role_family_default"
"consulting","problem_solving","Diagnose business problems and recommend changes that improve performance.","Turn messy organizational problems into actionable recommendations, operating changes, and implementation plans.","Remain accountable for diagnosis quality, recommendation logic, and expected business outcomes.","Actionable recommendations and change plans","Client or business sponsor","0.74","0.70","0.36","0.60","0.72","src_role_function_seed_2026_03","role_family_default"
"content","information_translation","Turn complex material into accurate, usable content for the right audience.","Convert complex information into clear, accurate content that users can act on.","Remain accountable for clarity, accuracy, and appropriateness for the target audience.","Audience-ready documentation or editorial output","Users and readers","0.62","0.66","0.34","0.44","0.58","src_role_function_seed_2026_03","role_family_default"
"creative","creative_production","Create assets and messages that shape audience attention and response.","Produce creative work that expresses ideas clearly and serves a communication or commercial goal.","Remain accountable for final creative direction, coherence, and audience fit.","Creative assets and narratives","Audience, client, or brand owner","0.60","0.62","0.22","0.42","0.60","src_role_function_seed_2026_03","role_family_default"
"data","decision_intelligence","Turn data into analysis, models, and recommendations that improve decisions.","Transform messy data into interpretable signals, models, and decision support.","Remain accountable for analytical validity, interpretation quality, and downstream decision usefulness.","Decision-ready analysis and models","Business or technical decision-maker","0.76","0.62","0.34","0.56","0.66","src_role_function_seed_2026_03","role_family_default"
"engineering","system_design","Design and review technical systems that must work safely and reliably.","Translate requirements into technical systems, designs, and review decisions that hold up in practice.","Remain accountable for system performance, safety, and engineering judgment.","Reliable technical systems and design decisions","Users, operators, and engineering stakeholders","0.78","0.64","0.56","0.68","0.70","src_role_function_seed_2026_03","role_family_default"
"finance","financial_integrity","Produce trustworthy financial records and analysis that guide resource decisions.","Maintain financial integrity and turn financial information into decisions, controls, and reporting.","Remain accountable for correctness, financial control, and decision relevance.","Reliable financial records, analysis, and controls","Management, investors, and regulators","0.74","0.70","0.62","0.58","0.68","src_role_function_seed_2026_03","role_family_default"
"hr","people_operations","Match people processes to organizational needs while handling employee context responsibly.","Operate hiring, development, and employee processes in ways that support both the organization and workers.","Remain accountable for fair process, employee context handling, and policy alignment.","Reliable people-process outcomes","Employees and managers","0.68","0.76","0.54","0.56","0.66","src_role_function_seed_2026_03","role_family_default"
"journalism","public_information","Gather, verify, and communicate information that the public can trust.","Turn reporting, verification, and synthesis into credible public-facing information.","Remain accountable for factual integrity, sourcing judgment, and public trust.","Credible reporting and public information","Readers and the public","0.74","0.82","0.38","0.62","0.70","src_role_function_seed_2026_03","role_family_default"
"legal","advice_advocacy","Interpret legal rules and represent client interests under professional accountability.","Apply legal reasoning to advise clients, shape legal strategy, and act under accountable representation.","Remain accountable for legal judgment, client advocacy, and final professional responsibility.","Legally accountable advice or representation","Client, court, and institution","0.92","0.90","0.86","0.88","0.86","src_role_function_seed_2026_03","role_family_default"
"marketing","market_sensing","Understand markets and shape go-to-market choices that influence demand.","Turn audience, product, and campaign signals into positioning and demand-generation choices.","Remain accountable for interpretation quality, message-market fit, and decision usefulness.","Market insight and go-to-market recommendations","Revenue owner, product team, and customer","0.70","0.64","0.28","0.48","0.62","src_role_function_seed_2026_03","role_family_default"
"operations","reliable_execution","Keep workflows compliant, coordinated, and reliable in day-to-day execution.","Sustain reliable operations by coordinating work, resolving exceptions, and keeping execution on track.","Remain accountable for workflow reliability, escalation quality, and control discipline.","Reliable service or operational execution","Internal teams, customers, or leadership","0.62","0.64","0.48","0.50","0.58","src_role_function_seed_2026_03","role_family_default"
"product_management","orchestration","Prioritize cross-functional work so teams deliver useful outcomes.","Align goals, decisions, and execution across functions so the organization delivers the right outcomes.","Remain accountable for prioritization quality, cross-functional alignment, and delivery tradeoffs.","Cross-functional prioritization and delivery direction","User, customer, and leadership","0.78","0.72","0.36","0.60","0.74","src_role_function_seed_2026_03","role_family_default"
"sales","revenue_creation","Win and expand revenue through discovery, trust, and negotiation.","Turn customer needs and constraints into commitments that create revenue and durable accounts.","Remain accountable for relationship quality, deal judgment, and commercial commitments.","Revenue and account progression","Customer and revenue owner","0.72","0.82","0.26","0.58","0.76","src_role_function_seed_2026_03","role_family_default"
"software","software_delivery","Design, build, and maintain software that solves user and business problems.","Translate product and system needs into working software and maintainable technical decisions.","Remain accountable for software quality, technical tradeoffs, and production behavior.","Working software systems","Users, customers, and technical stakeholders","0.80","0.60","0.34","0.58","0.66","src_role_function_seed_2026_03","role_family_default"
