"occupation_id","function_key","function_category","role_summary","function_statement","accountability_statement","primary_output","primary_stakeholder","function_weight","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","bargaining_power_retention","priority_task_families","source_mix","notes"
"occ_23_1011_00","matter_preparation","matter_preparation","Prepare cases and legal matters so accountable advice and advocacy can stand up under scrutiny.","Turn facts, precedent, drafts, and review work into matter-ready legal materials.","Remain accountable for factual quality, procedural fitness, and escalation when preparation work changes legal risk.","Matter-ready legal work product","Attorney and client team","0.38","0.82","0.72","0.70","0.58","0.64","cluster_research_synthesis|cluster_drafting|cluster_qa_review|cluster_documentation","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_2051_00","stakeholder_translation","stakeholder_translation","Translate analytical work into decisions, coordination, and adoption inside the business.","Turn modeling outputs, tradeoffs, and uncertainty into stakeholder-ready decisions and next steps.","Remain accountable for analytical interpretation, stakeholder clarity, and responsible handoff into action.","Decision-ready interpretation and stakeholder alignment","Business and technical stakeholders","0.34","0.82","0.68","0.26","0.56","0.66","cluster_decision_support|cluster_client_interaction|cluster_coordination|cluster_relationship_management","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_1082_00","stakeholder_alignment","stakeholder_alignment","Keep delivery aligned by managing expectations, escalation paths, and cross-functional tradeoffs.","Turn conflicting stakeholder needs into workable sequencing, escalation, and delivery decisions.","Remain accountable for escalation quality, stakeholder alignment, and real-world delivery tradeoffs.","Aligned stakeholders and resolved delivery tradeoffs","Leadership, team, and customer","0.36","0.78","0.76","0.28","0.58","0.68","cluster_coordination|cluster_client_interaction|cluster_relationship_management|cluster_oversight_strategy","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_1021_00","people_resource_leadership","people_resource_leadership","Translate business goals into staffed, resourced, and accountable organizational execution.","Turn people, capacity, and performance signals into accountable operating decisions.","Remain accountable for staffing tradeoffs, team performance, and operating accountability.","Resourced execution and management decisions","Leadership and operating teams","0.34","0.78","0.74","0.38","0.70","0.78","cluster_coordination|cluster_relationship_management|cluster_client_interaction|cluster_oversight_strategy","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_1252_00","system_reliability","system_reliability","Keep software dependable by reviewing, integrating, documenting, and safeguarding technical decisions.","Turn code changes and system complexity into reliable, maintainable software operation.","Remain accountable for production behavior, review quality, and technical integrity.","Reliable software behavior and maintainability","Users, operators, and engineering team","0.32","0.80","0.58","0.40","0.62","0.64","cluster_qa_review|cluster_coordination|cluster_documentation|cluster_oversight_strategy","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_1041_00","control_enablement","control_enablement","Help operating teams execute within rules by translating controls into workable processes.","Turn laws, policy, and controls into usable workflow guardrails and escalation paths.","Remain accountable for implementation clarity, control usability, and escalation of higher-risk issues.","Workable control processes and escalations","Operating teams and leadership","0.32","0.76","0.74","0.70","0.58","0.64","cluster_coordination|cluster_client_interaction|cluster_documentation|cluster_workflow_admin","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_27_3041_00","publication_orchestration","publication_orchestration","Coordinate the publication process so editorial decisions become publishable output on time.","Turn drafts, review cycles, contributors, and release timing into coherent publication workflow.","Remain accountable for review flow, contributor alignment, and release readiness.","Coordinated publication workflow","Writers, editor, and publisher","0.36","0.72","0.70","0.22","0.48","0.62","cluster_coordination|cluster_qa_review|cluster_client_interaction|cluster_relationship_management","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_27_3042_00","release_enablement","release_enablement","Prepare documentation programs for release by coordinating inputs, review, and readiness across teams.","Turn source material, subject-matter review, and release constraints into documentation that ships cleanly.","Remain accountable for review completeness, release fit, and documentation maintainability.","Release-ready documentation package","Users, support, and product team","0.34","0.72","0.68","0.24","0.44","0.58","cluster_coordination|cluster_qa_review|cluster_client_interaction|cluster_documentation","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_27_3023_00","source_development","source_development","Build access, trust, and verification pathways that sustain credible reporting.","Turn relationships, sourcing, and on-the-ground verification into reportable information.","Remain accountable for source trust, verification discipline, and judgment under uncertainty.","Verified source network and reportable facts","Public, sources, and editor","0.34","0.78","0.84","0.28","0.56","0.70","cluster_client_interaction|cluster_relationship_management|cluster_research_synthesis|cluster_coordination","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_27_3031_00","relationship_protection","relationship_protection","Preserve trust with media, partners, and stakeholders while the organization communicates and responds.","Turn stakeholder concerns and message risk into coordinated relationship management.","Remain accountable for relationship trust, escalation judgment, and reputational protection.","Protected stakeholder trust and coordinated response","External stakeholders and leadership","0.38","0.76","0.86","0.32","0.56","0.74","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_oversight_strategy","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_41_3091_00","account_stewardship","account_stewardship","Protect and grow revenue by keeping active accounts aligned after the initial sale.","Turn service delivery context and customer risk into retained trust and account continuity.","Remain accountable for account trust, renewal risk, and coordination when delivery issues threaten revenue.","Retained accounts and expanded customer trust","Customer and revenue owner","0.38","0.72","0.88","0.20","0.52","0.80","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_qa_review","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
